vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
3.894896,1.208656,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.01/pattern,800,2400,480,1434
3.902229,1.213911,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.02/pattern,800,2400,480,1434
3.902236,1.221115,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.03/pattern,800,2400,480,1434
3.887081,1.220745,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.04/pattern,800,2400,480,1434
3.922501,1.196691,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.05/pattern,800,2400,480,1434
3.880771,1.213061,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.06/pattern,800,2400,480,1434
3.900390,1.210361,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.07/pattern,800,2400,480,1434
3.919684,1.211103,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.08/pattern,800,2400,480,1434
3.923513,1.206059,10,1600,1600,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b03_800/si6_b03_m800.09/pattern,800,2400,480,1434
0.558531,0.083556,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.00/pattern,200,1200,120,708
0.555927,0.085119,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.01/pattern,200,1200,120,708
0.548221,0.084400,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.02/pattern,200,1200,120,708
0.560231,0.085469,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si6_bvg_b06_200/si6_b06_m200.03/pattern,200,1200,120,708
