vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,0.002867,0,-1,4,si/si6_bvg_b06m_400/si6_b06m_m400.02/target,si/si6_bvg_b06m_400/si6_b06m_m400.02/pattern,400,2394,240,1238
-1.000000,0.003765,0,-1,8,si/si6_bvg_b06m_400/si6_b06m_m400.03/target,si/si6_bvg_b06m_400/si6_b06m_m400.03/pattern,400,2396,240,1176
-1.000000,0.006088,0,-1,64,si/si6_bvg_b06m_400/si6_b06m_m400.04/target,si/si6_bvg_b06m_400/si6_b06m_m400.04/pattern,400,2394,240,1160
-1.000000,0.002749,0,-1,2,si/si6_bvg_b06m_400/si6_b06m_m400.05/target,si/si6_bvg_b06m_400/si6_b06m_m400.05/pattern,400,2394,240,1184
-1.000000,0.004525,0,-1,32,si/si6_bvg_b06m_400/si6_b06m_m400.06/target,si/si6_bvg_b06m_400/si6_b06m_m400.06/pattern,400,2396,240,1204
-1.000000,0.004637,0,-1,48,si/si6_bvg_b06m_400/si6_b06m_m400.07/target,si/si6_bvg_b06m_400/si6_b06m_m400.07/pattern,400,2394,240,1210
-1.000000,0.002602,0,-1,4,si/si6_bvg_b06m_400/si6_b06m_m400.08/target,si/si6_bvg_b06m_400/si6_b06m_m400.08/pattern,400,2396,240,1212
-1.000000,0.007818,0,-1,96,si/si6_bvg_b06m_400/si6_b06m_m400.09/target,si/si6_bvg_b06m_400/si6_b06m_m400.09/pattern,400,2396,240,1174
-1.000000,2.010134,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.00/target,si/si6_bvg_b09_800/si6_b09_m800.00/pattern,800,7200,480,4274
-1.000000,2.081681,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.01/target,si/si6_bvg_b09_800/si6_b09_m800.01/pattern,800,7200,480,4274
-1.000000,1.984533,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.02/target,si/si6_bvg_b09_800/si6_b09_m800.02/pattern,800,7200,480,4272
-1.000000,2.057152,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.03/target,si/si6_bvg_b09_800/si6_b09_m800.03/pattern,800,7200,480,4274
-1.000000,2.026084,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.04/target,si/si6_bvg_b09_800/si6_b09_m800.04/pattern,800,7200,480,4272
-1.000000,2.135187,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.05/target,si/si6_bvg_b09_800/si6_b09_m800.05/pattern,800,7200,480,4272
-1.000000,1.992360,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.06/target,si/si6_bvg_b09_800/si6_b09_m800.06/pattern,800,7200,480,4272
-1.000000,1.949157,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.07/target,si/si6_bvg_b09_800/si6_b09_m800.07/pattern,800,7200,480,4272
-1.000000,1.996102,0,-1,1600,si/si6_bvg_b09_800/si6_b09_m800.08/target,si/si6_bvg_b09_800/si6_b09_m800.08/pattern,800,7200,480,4274
