target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,function,min,max,num_samples,median,mean,stdev,num_found_matchings
200,1798,si/si4_bvg_b09m_200/si4_b09m_m200.04/target,80,480,si/si4_bvg_b09m_200/si4_b09m_m200.04/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0010914000000000063,0.001206330999999998,10,0.0011086595000000012,0.001118557300000002,3.391138035478e-05,2
200,1794,si/si4_bvg_b09m_200/si4_b09m_m200.05/target,80,488,si/si4_bvg_b09m_200/si4_b09m_m200.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.001023728999999994,0.001118479999999998,10,0.001030279000000002,0.0010430814000000003,2.930201894143838e-05,2
200,1792,si/si4_bvg_b09m_200/si4_b09m_m200.07/target,80,464,si/si4_bvg_b09m_200/si4_b09m_m200.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.000932220999999997,0.0010335809999999987,10,0.000938076000000003,0.0009522667999999998,3.133922849791312e-05,2
200,1788,si/si4_bvg_b09m_200/si4_b09m_m200.08/target,80,452,si/si4_bvg_b09m_200/si4_b09m_m200.08/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0009300510000000012,0.0010890009999999992,10,0.0009420609999999975,0.0009667746999999997,5.200248565223673e-05,1
200,1792,si/si4_bvg_b09m_200/si4_b09m_m200.06/target,80,460,si/si4_bvg_b09m_200/si4_b09m_m200.06/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.001435491000000004,0.0015371409999999988,10,0.001444786,0.0014543391999999994,3.0308382979704636e-05,2
800,4794,si/si4_bvg_b06m_800/si4_b06m_m800.07/target,320,1382,si/si4_bvg_b06m_800/si4_b06m_m800.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",57.427761965000016,68.592882047,10,58.06839523150002,59.13339254230001,3.3671967755770464,294912
200,1798,si/si4_bvg_b09m_200/si4_b09m_m200.09/target,80,412,si/si4_bvg_b09m_200/si4_b09m_m200.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0013646719999999973,0.0018343259999999972,10,0.0013755569999999995,0.0014271937999999998,0.00014429519388223168,8
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.00/target,160,950,si/si4_bvg_b09m_400/si4_b09m_m400.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0026931739999999926,0.002813472999999997,10,0.002700619500000001,0.0027141952999999988,3.598411645295645e-05,2
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.02/target,160,948,si/si4_bvg_b09m_400/si4_b09m_m400.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.0049134619999999934,0.005267536999999996,10,0.004929533999999999,0.004965573499999999,0.00010714543359196789,32
400,3596,si/si4_bvg_b09m_400/si4_b09m_m400.01/target,160,928,si/si4_bvg_b09m_400/si4_b09m_m400.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.010176049000000006,0.011275770999999997,10,0.010233391999999994,0.010350080099999999,0.00033139750575788033,96
